,precision,recall,f1-score,support
abstract_art,0.47058823529411764,0.32,0.38095238095238104,25.0
abstract_expressionism,0.6521739130434783,0.6,0.6250000000000001,25.0
amateur,0.7222222222222222,0.52,0.6046511627906976,25.0
art_nouveau,0.8333333333333334,0.4,0.5405405405405406,25.0
baroque,0.6428571428571429,0.75,0.6923076923076924,24.0
chinese_landscape,0.5833333333333334,1.0,0.7368421052631579,14.0
constructivism,0.7222222222222222,0.52,0.6046511627906976,25.0
cubism,0.7619047619047619,0.64,0.6956521739130435,25.0
expressionism,0.5172413793103449,0.6,0.5555555555555556,25.0
fauvism,0.4583333333333333,0.44,0.4489795918367347,25.0
futurism,0.7272727272727273,0.64,0.6808510638297872,25.0
high_renaissance,0.7894736842105263,0.6,0.6818181818181819,25.0
minimalism,0.6551724137931034,0.76,0.7037037037037037,25.0
op_art,0.6538461538461539,0.68,0.6666666666666666,25.0
pop_art,0.4857142857142857,0.68,0.5666666666666667,25.0
post_impressionism,0.5909090909090909,0.52,0.5531914893617023,25.0
realism,0.59375,0.8260869565217391,0.6909090909090908,23.0
renaissance,0.7307692307692307,0.76,0.7450980392156863,25.0
romanticism,0.7407407407407407,0.8,0.7692307692307692,25.0
surrealism,0.5483870967741935,0.68,0.6071428571428571,25.0
symbolism,0.4642857142857143,0.52,0.49056603773584906,25.0
accuracy,0.6223091976516634,0.6223091976516634,0.6223091976516634,0.6223091976516634
macro avg,0.6354538578652408,0.6312422360248447,0.6209989015348317,511.0
weighted avg,0.6367245627587624,0.6223091976516634,0.618092043588583,511.0
